subj,sit_neut,sit_incon,sit_con,sta_neut,sta_incon,sta_con
1,413.68,407.3,392.91,374.53,363.64,400.34
2,417.23,419.72,416.75,404.3,393.59,398.15
3,497.14,522.09,486,475.33,466.08,459.8
4,309.86,305.8,307.17,323.66,310.23,320.95
5,405.38,440.57,429.27,430.56,407.42,428.71
6,369.4,390.23,357.3,370.88,379.78,361.52
7,323,349.27,333.02,329.67,342.24,350.44
8,327.71,334.98,340.07,380.73,382.86,372.98
9,358.24,387.69,339.76,341.31,356.5,346.62
10,319.37,297.92,299.76,304.35,309.66,305.58
11,489.02,526.86,530.28,522.53,519.95,514.3
12,337.26,323.84,333.81,349.23,354.84,346.83
13,313.36,335.12,304.07,312.98,310.1,308.2
14,383.42,437.76,390,446.81,458.26,446
