subj,stand4,stand8,sit4,sit8,stand_slope,sit_slope
1,622.19,684.75,614.75,696.74,15.64,20.4975
2,494.39,593.68,535.98,589.2,24.8225,13.305
3,515.93,611.02,574.73,619.38,23.7725,11.1625
4,524.85,619.06,527.89,568.29,23.5525,10.1
5,439.89,454.93,477.14,546.17,3.76,17.2575
6,760.26,833.17,872.06,936.1,18.2275,16.01
7,444.11,475.32,493.11,507.83,7.8025,3.68
8,545.58,653.98,504.52,586.31,27.1,20.4475
9,454.75,497.25,420.33,438.16,10.625,4.4575
10,669.16,727.87,689.09,697.44,14.6775,2.0875
11,618.14,683.61,598.6,646.35,16.3675,11.9375
12,497.61,579.76,504.8,517.29,20.5375,3.1225
