ID#,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q3_3_TEXT,Q4,Q5,Q5_9_TEXT,Q10
,Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,"Type your age in years (e.g., 24):","Pick
the category below that best describes your ethnic/racial background. I
consider myself to be... - Selected Choice","Pick
the category below that best describes your ethnic/racial background. I
consider myself to be... - Other - Text",Is English your first language?
,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_28_TEXT""}","{""ImportId"":""QID10_TEXT""}"
test,7/29/2021 12:16,7/29/2021 14:32,IP Address,68.232.22.178,17,8161,FALSE,8/5/2021 14:33,R_1eLuRYRkHitX5Dk,,,,,,,anonymous,EN,,,,,,
test,8/11/2021 16:27,8/18/2021 15:44,IP Address,32.141.152.14,100,602213,TRUE,8/18/2021 15:44,R_1ews5BXtZJ4hsEu,,,,,33.18760681,-96.12680054,anonymous,EN,,,,,,yes
1,11/10/2021 8:48,11/10/2021 9:48,IP Address,68.232.23.236,100,3580,TRUE,11/10/2021 9:48,R_x635o84w86Sq6TT,,,,,33.24339294,-95.91100311,anonymous,EN,Woman,,19,Hispanic/Latino/Latina/Latinx,,no
2,11/10/2021 10:01,11/10/2021 10:47,IP Address,68.232.23.236,100,2740,TRUE,11/10/2021 10:47,R_xtkHf6em51bMDPH,,,,,33.24339294,-95.91100311,anonymous,EN,Woman,,18,Black / African American,,No
3,11/10/2021 10:52,11/10/2021 11:46,IP Address,68.232.23.236,100,3228,TRUE,11/10/2021 11:46,R_337tFnp8M0kbEIE,,,,,33.24339294,-95.91100311,anonymous,EN,Woman,,18,White /European American,,yes
4,11/10/2021 12:42,11/10/2021 12:42,IP Address,68.232.23.236,100,25,TRUE,11/10/2021 12:42,R_1rHYH3B0dyfp6KC,,,,,33.24339294,-95.91100311,anonymous,EN,Woman,,20,Black / African American,,yes
5,11/10/2021 12:44,11/10/2021 13:47,IP Address,68.232.23.236,100,3779,TRUE,11/10/2021 13:47,R_svdSuLke2J8pxT3,,,,,33.24339294,-95.91100311,anonymous,EN,Man,,19,White /European American,,yes
6,11/10/2021 14:32,11/10/2021 14:32,IP Address,68.232.23.236,100,33,TRUE,11/10/2021 14:32,R_1K11gi6IFT3EbA3,,,,,33.24339294,-95.91100311,anonymous,EN,Man,,21,Black / African American,,Yes
7,11/11/2021 8:42,11/11/2021 14:32,IP Address,68.232.23.236,100,21007,TRUE,11/11/2021 14:32,R_2rrpUN4UfJIocFX,,,,,33.24339294,-95.91100311,anonymous,EN,Woman,,19,Black / African American,,yes
8,11/11/2021 14:47,11/11/2021 16:18,IP Address,68.232.23.236,100,5451,TRUE,11/11/2021 16:18,R_1nSyVbRIArEhJKq,,,,,33.24339294,-95.91100311,anonymous,EN,Woman,,19,Black / African American,,no
9,11/12/2021 8:47,11/12/2021 9:38,IP Address,68.232.23.236,100,3074,TRUE,11/12/2021 9:38,R_2EFuwfaWulW5SQZ,,,,,33.24339294,-95.91100311,anonymous,EN,Man,,21,White /European American,,yes
10,11/12/2021 9:42,11/12/2021 10:36,IP Address,68.232.23.236,100,3221,TRUE,11/12/2021 10:36,R_2dyhLBkhF3DVaIt,,,,,33.24339294,-95.91100311,anonymous,EN,Woman,,21,White /European American,,yes
11,11/12/2021 10:39,11/12/2021 11:57,IP Address,68.232.23.236,100,4664,TRUE,11/12/2021 11:57,R_1DCDxEaJNCy41qW,,,,,33.24339294,-95.91100311,anonymous,EN,Woman,,19,White /European American,,yes
12,11/12/2021 13:14,11/12/2021 13:15,IP Address,68.232.23.236,100,27,TRUE,11/12/2021 13:15,R_2qCSJpfufE08SQ5,,,,,33.24339294,-95.91100311,anonymous,EN,Woman,,19,Asian /South Pacific Islander,,Yes
