,participant,condition,posture,blockNum,trialNum,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,response,correctResponse,correct,reactionTime,new_congruency,,
1,1,1,standing,1,1,buffer,buffer,solid,square,blue,right,left,no,0.908813,incongruent,,
2,1,1,standing,1,2,noswitch,congruant,solid,square,blue,left,left,yes,0.594734907,incongruent,,
3,1,1,standing,1,3,switch,incongruant,dashed,square,blue,right,right,yes,0.708487034,incongruent,,
4,1,1,standing,1,4,noswitch,congruant,dashed,square,blue,right,right,yes,0.599519968,incongruent,,
5,1,1,standing,1,5,noswitch,congruant,dashed,square,yellow,right,right,yes,0.439940929,congruent,,
6,1,1,standing,1,6,noswitch,congruant,dashed,square,yellow,right,right,yes,0.384725809,congruent,,
7,1,1,standing,1,7,switch,incongruant,solid,triangle,blue,left,left,yes,0.464102983,congruent,,
8,1,1,standing,1,8,noswitch,incongruant,solid,square,yellow,right,right,yes,0.291986942,congruent,,
9,1,1,standing,1,9,switch,congruant,dashed,square,yellow,right,right,yes,0.398140907,congruent,,
10,1,1,standing,1,10,noswitch,congruant,dashed,square,blue,right,right,yes,0.644129038,incongruent,,
11,1,1,standing,1,11,noswitch,congruant,dashed,square,blue,right,right,yes,0.406224012,incongruent,,
12,1,1,standing,1,12,switch,incongruant,solid,triangle,blue,left,left,yes,0.555380106,congruent,,
13,1,1,standing,1,13,noswitch,congruant,solid,triangle,blue,left,left,yes,0.567210913,congruent,,
14,1,1,standing,1,14,switch,congruant,dashed,triangle,yellow,left,left,yes,0.595412016,incongruent,,
15,1,1,standing,1,15,noswitch,congruant,dashed,triangle,blue,left,left,yes,1.151582003,congruent,,
16,1,1,standing,1,16,noswitch,incongruant,dashed,square,yellow,right,right,yes,0.527726889,congruent,,
17,1,1,standing,1,17,switch,incongruant,solid,triangle,blue,timeout,left,no,NA,congruent,,
18,1,1,standing,1,18,noswitch,incongruant,solid,triangle,yellow,timeout,right,no,NA,incongruent,,
19,1,1,standing,1,19,switch,incongruant,dashed,triangle,blue,left,left,yes,1.083976984,congruent,,
20,1,1,standing,1,20,switch,congruant,solid,square,blue,right,left,no,0.690286875,incongruent,,
21,1,1,standing,1,21,switch,congruant,dashed,triangle,yellow,timeout,left,no,NA,incongruent,,
22,1,1,standing,1,22,switch,incongruant,solid,square,yellow,right,right,yes,0.515806913,congruent,,
23,1,1,standing,1,23,switch,incongruant,dashed,triangle,yellow,left,left,yes,0.62709403,incongruent,,
24,1,1,standing,1,24,switch,incongruant,solid,square,yellow,right,right,yes,0.609241962,congruent,,
25,1,1,standing,1,25,switch,incongruant,dashed,triangle,blue,left,left,yes,0.830000162,congruent,,
26,1,1,standing,1,26,switch,incongruant,solid,triangle,yellow,right,right,yes,0.510948896,incongruent,,
27,1,1,standing,1,27,switch,incongruant,dashed,triangle,blue,left,left,yes,0.524319887,congruent,,
28,1,1,standing,1,28,noswitch,incongruant,dashed,square,blue,right,right,yes,0.476336002,incongruent,,
29,1,1,standing,1,29,switch,congruant,solid,triangle,yellow,right,right,yes,0.657994986,incongruent,,
30,1,1,standing,1,30,noswitch,incongruant,solid,triangle,blue,left,left,yes,0.438060999,congruent,,
31,1,1,standing,1,31,switch,congruant,dashed,triangle,yellow,left,left,yes,0.377665043,incongruent,,
32,1,1,standing,1,32,noswitch,incongruant,dashed,square,yellow,right,right,yes,0.680729866,congruent,,
33,1,1,standing,1,33,switch,congruant,solid,triangle,yellow,right,right,yes,0.505386829,incongruent,,
34,1,1,standing,1,34,noswitch,congruant,solid,triangle,yellow,right,right,yes,0.647799969,incongruent,,
35,1,1,standing,1,35,switch,incongruant,dashed,triangle,blue,left,left,yes,0.748785019,congruent,,
36,1,1,standing,1,36,switch,incongruant,solid,square,yellow,right,right,yes,0.856347084,congruent,,
37,1,1,standing,1,37,noswitch,incongruant,solid,square,blue,left,left,yes,1.092216969,incongruent,,
38,1,1,standing,1,38,noswitch,incongruant,solid,triangle,yellow,right,right,yes,0.790499926,incongruent,,
39,1,1,standing,1,39,noswitch,incongruant,solid,triangle,blue,left,left,yes,0.421741009,congruent,,
40,1,1,standing,1,40,noswitch,incongruant,solid,square,yellow,right,right,yes,0.585995913,congruent,,
41,1,1,standing,1,41,switch,congruant,dashed,square,yellow,right,right,yes,0.768738985,congruent,,
42,1,1,standing,1,42,noswitch,congruant,dashed,square,blue,right,right,yes,0.528064013,incongruent,,
43,1,1,standing,1,43,switch,congruant,solid,square,yellow,right,right,yes,0.722939014,congruent,,
44,1,1,standing,1,44,noswitch,incongruant,solid,square,blue,right,left,no,0.617738962,incongruent,,
45,1,1,standing,1,45,noswitch,congruant,solid,square,blue,left,left,yes,1.458860874,incongruent,,
46,1,1,standing,1,46,switch,congruant,dashed,triangle,yellow,left,left,yes,0.521074057,incongruent,,
47,1,1,standing,1,47,noswitch,congruant,dashed,triangle,yellow,left,left,yes,0.400420189,incongruent,,
48,1,1,standing,1,48,noswitch,congruant,dashed,triangle,blue,left,left,yes,0.441375017,congruent,,
49,1,1,standing,1,49,switch,congruant,solid,square,blue,left,left,yes,0.406144142,incongruent,,
50,1,1,standing,2,1,buffer,buffer,dashed,square,yellow,right,right,yes,0.783951044,congruent,,
51,1,1,standing,2,2,switch,congruant,solid,triangle,yellow,right,right,yes,1.02841711,incongruent,,
52,1,1,standing,2,3,switch,congruant,dashed,square,yellow,right,right,yes,0.922286987,congruent,,
53,1,1,standing,2,4,noswitch,congruant,dashed,square,blue,right,right,yes,0.473640919,incongruent,,
54,1,1,standing,2,5,noswitch,congruant,dashed,square,blue,right,right,yes,0.388787985,incongruent,,
