"participant","sitting_congruent_noswitch","sitting_congruent_switch","sitting_incongruent_noswitch","sitting_incongruent_switch","standing_congruent_noswitch","standing_congruent_switch","standing_incongruent_noswitch","standing_incongruent_switch"
1,0.96,0.978260869565217,0.956521739130435,0.88,0.981132075471698,0.883720930232558,0.953488372093023,0.905660377358491
3,0.979591836734694,0.978723404255319,0.978723404255319,0.877551020408163,0.877551020408163,0.957446808510638,0.765957446808511,0.73469387755102
4,1,0.979166666666667,0.916666666666667,0.8125,0.954545454545455,0.923076923076923,0.769230769230769,0.886363636363636
5,0.978260869565217,0.98,0.78,0.673913043478261,0.976190476190476,0.981481481481482,0.851851851851852,0.642857142857143
6,1,1,0.94,0.847826086956522,0.977777777777778,1,0.96078431372549,0.844444444444444
7,1,0.978723404255319,0.978723404255319,0.938775510204082,0.938775510204082,1,0.829787234042553,0.857142857142857
9,0.978723404255319,0.959183673469388,0.897959183673469,0.723404255319149,0.978723404255319,0.959183673469388,0.959183673469388,0.872340425531915
10,0.961538461538462,0.863636363636364,0.75,0.692307692307692,0.938775510204082,0.978723404255319,0.765957446808511,0.673469387755102
11,0.958333333333333,0.979166666666667,0.916666666666667,0.895833333333333,1,1,1,0.914893617021277
12,0.951219512195122,0.945454545454545,0.927272727272727,0.731707317073171,0.958333333333333,0.854166666666667,1,0.833333333333333
13,0.96078431372549,0.977777777777778,0.977777777777778,0.901960784313726,0.978723404255319,0.959183673469388,1,0.914893617021277
14,1,0.928571428571429,0.904761904761905,0.888888888888889,1,0.981132075471698,0.943396226415094,0.953488372093023
16,0.911111111111111,0.96078431372549,0.980392156862745,0.8,1,0.954545454545455,0.977272727272727,0.903846153846154
17,0.980392156862745,0.977777777777778,0.933333333333333,0.96078431372549,0.962962962962963,0.976190476190476,0.904761904761905,0.833333333333333
18,0.906976744186046,0.886792452830189,0.943396226415094,0.790697674418605,0.888888888888889,0.80952380952381,0.761904761904762,0.685185185185185
19,0.888888888888889,0.952380952380952,0.880952380952381,0.722222222222222,0.857142857142857,0.829787234042553,0.723404255319149,0.816326530612245
20,0.979166666666667,0.979166666666667,0.958333333333333,0.875,0.977272727272727,1,0.903846153846154,0.772727272727273
21,0.978723404255319,0.959183673469388,0.857142857142857,0.851063829787234,0.982142857142857,0.975,0.525,0.446428571428571
22,1,0.978260869565217,0.956521739130435,0.9,1,0.978723404255319,0.787234042553192,0.918367346938776
23,0.953488372093023,0.981132075471698,0.943396226415094,0.906976744186046,0.930232558139535,0.924528301886792,0.943396226415094,0.813953488372093
24,1,0.938775510204082,1,0.829787234042553,0.978723404255319,0.836734693877551,1,0.723404255319149
25,0.923076923076923,0.931818181818182,0.886363636363636,0.788461538461538,0.975609756097561,0.981818181818182,0.945454545454545,0.853658536585366
26,0.96078431372549,1,0.933333333333333,0.901960784313726,1,0.979166666666667,0.979166666666667,0.916666666666667
27,0.979166666666667,0.9375,0.875,0.645833333333333,0.98,0.978260869565217,0.847826086956522,0.84
28,0.944444444444444,0.952380952380952,0.880952380952381,0.87037037037037,1,0.9375,0.958333333333333,0.791666666666667
