participant,session,condition,trialType,posture,blockNum,trialNum,switchTrialType,congruentTrialType,cueType,shapeType,shapeColor,response,correctResponse,correct,reactionTime,date,utcTime
1,1,1,experiment,standing,1,1,buffer,incongruent,solid,square,blue,right,left,no,0.9088129997253418,2021-11-10 10:22:00,1636561737.1790671
1,1,1,experiment,standing,1,2,noswitch,incongruent,solid,square,blue,left,left,yes,0.5947349071502686,2021-11-10 10:22:00,1636561744.1281517
1,1,1,experiment,standing,1,3,switch,incongruent,dashed,square,blue,right,right,yes,0.7084870338439941,2021-11-10 10:22:00,1636561746.1949935
1,1,1,experiment,standing,1,4,noswitch,incongruent,dashed,square,blue,right,right,yes,0.5995199680328369,2021-11-10 10:22:00,1636561748.139821
1,1,1,experiment,standing,1,5,noswitch,congruent,dashed,square,yellow,right,right,yes,0.4399409294128418,2021-11-10 10:22:00,1636561749.9110022
1,1,1,experiment,standing,1,6,noswitch,congruent,dashed,square,yellow,right,right,yes,0.38472580909729,2021-11-10 10:22:00,1636561751.62303
1,1,1,experiment,standing,1,7,switch,congruent,solid,triangle,blue,left,left,yes,0.4641029834747314,2021-11-10 10:22:00,1636561753.4547527
1,1,1,experiment,standing,1,8,noswitch,congruent,solid,square,yellow,right,right,yes,0.2919869422912597,2021-11-10 10:22:00,1636561755.1092012
1,1,1,experiment,standing,1,9,switch,congruent,dashed,square,yellow,right,right,yes,0.3981409072875976,2021-11-10 10:22:00,1636561756.879166
1,1,1,experiment,standing,1,10,noswitch,incongruent,dashed,square,blue,right,right,yes,0.6441290378570557,2021-11-10 10:22:00,1636561758.8879952
1,1,1,experiment,standing,1,11,noswitch,incongruent,dashed,square,blue,right,right,yes,0.4062240123748779,2021-11-10 10:22:00,1636561760.6586635
1,1,1,experiment,standing,1,12,switch,congruent,solid,triangle,blue,left,left,yes,0.55538010597229,2021-11-10 10:22:00,1636561762.5475094
1,1,1,experiment,standing,1,13,noswitch,congruent,solid,triangle,blue,left,left,yes,0.5672109127044678,2021-11-10 10:22:00,1636561764.4361224
1,1,1,experiment,standing,1,14,switch,incongruent,dashed,triangle,yellow,left,left,yes,0.595412015914917,2021-11-10 10:22:00,1636561766.3863475
1,1,1,experiment,standing,1,15,noswitch,congruent,dashed,triangle,blue,left,left,yes,1.1515820026397705,2021-11-10 10:22:00,1636561768.86718
1,1,1,experiment,standing,1,16,noswitch,congruent,dashed,square,yellow,right,right,yes,0.5277268886566162,2021-11-10 10:22:00,1636561770.7590306
1,1,1,experiment,standing,1,17,switch,congruent,solid,triangle,blue,timeout,left,no,,2021-11-10 10:22:00,1636561773.4788444
1,1,1,experiment,standing,1,18,noswitch,incongruent,solid,triangle,yellow,timeout,right,no,,2021-11-10 10:22:00,1636561781.2459164
1,1,1,experiment,standing,1,19,switch,congruent,dashed,triangle,blue,left,left,yes,1.083976984024048,2021-11-10 10:22:00,1636561788.6607623
1,1,1,experiment,standing,1,20,switch,incongruent,solid,square,blue,right,left,no,0.6902868747711182,2021-11-10 10:22:00,1636561790.7282128
1,1,1,experiment,standing,1,21,switch,incongruent,dashed,triangle,yellow,timeout,left,no,,2021-11-10 10:22:00,1636561798.4995005
